Id,Label,timeset,incidência-2017,incidência - 2018,incidência - 2019,modularity_class,pageranks
Nova Belém,Nova Belém,,28.1,57.72,61.44,1,0.000395
Dona Eusébia,Dona Eusébia,,0,0,0,2,0.001335
Ubá,Ubá,,165.75,1533.1,249.42,2,0.003972
Nova Módica,Nova Módica,,0,0,82.71,1,0.000533
São José do Divino,São José do Divino,,101.42,0,232.86,1,0.000533
Andradas,Andradas,,4.99,14.74,66.26,4,0.000967
Jacutinga,Jacutinga,,4.01,0,35.04,4,0.001029
Cataguases,Cataguases,,36.4,29.32,117.82,2,0.002483
Cambuí,Cambuí,,6.98,0,3.42,4,0.001869
Gonçalves,Gonçalves,,0,0,0,4,0.001087
Alto Caparaó,Alto Caparaó,,0,0,0,3,0.000545
Alto Jequitibá,Alto Jequitibá,,0,0,0,3,0.000908
Chapada Gaúcha,Chapada Gaúcha,,56.02,61.68,2679.7,5,0.000554
Itacarambi,Itacarambi,,16.32,59.64,1681.18,5,0.001181
Muzambinho,Muzambinho,,9.52,4.76,67.98,4,0.002318
Nova Resende,Nova Resende,,12.17,6.01,30.1,4,0.000453
Córrego do Bom Jesus,Córrego do Bom Jesus,,0,0,26.93,4,0.000336
Arinos,Arinos,,241.48,104.15,654.07,5,0.001423
Gameleiras,Gameleiras,,0,876.86,3494.73,5,0.000259
Monte Azul,Monte Azul,,13.64,119.36,1394.11,5,0.001817
Senador Amaral,Senador Amaral,,18.45,18.39,0,4,0.000341
Manhumirim,Manhumirim,,0,0,190.2,3,0.002046
Carrancas,Carrancas,,0,0,123.64,4,0.00034
Lavras,Lavras,,32.92,7.83,210.26,4,0.00434
Arcos,Arcos,,7.64,1067.54,8152.19,6,0.002093
Santa Maria do Salto,Santa Maria do Salto,,18.54,18.58,0,1,0.000375
"Águas Vermelhas",Águas Vermelhas,,215.66,22.1,89.04,1,0.000381
Divisa Alegre,Divisa Alegre,,46.31,0,1223.52,1,0.001157
Caranaíba,Caranaíba,,0,60.62,62.5,2,0.000426
Cristiano Otoni,Cristiano Otoni,,19.22,38.28,194.36,2,0.001781
Mar de Espanha,Mar de Espanha,,31.82,7.85,353.63,2,0.001212
Senador Cortes,Senador Cortes,,0,48.8,1494.77,2,0.000354
Caputira,Caputira,,0,0,75.37,3,0.000248
Itutinga,Itutinga,,0,25.47,78.76,2,0.000952
Itaú de Minas,Itaú de Minas,,75.49,105.71,1055.33,4,0.001725
Pratápolis,Pratápolis,,772.68,0,1122.43,4,0.00088
Conceição das Pedras,Conceição das Pedras,,0,34.99,71.15,4,0.000684
Pedralva,Pedralva,,25.81,0,0,4,0.001157
Leme do Prado,Leme do Prado,,581.98,0,590.03,0,0.000527
Minas Novas,Minas Novas,,9.4,9.37,85.79,0,0.002134
Montalvânia,Montalvânia,,177.45,1499.71,286.44,5,0.001792
Ipanema,Ipanema,,5.14,5.07,319.52,3,0.001594
Rio do Prado,Rio do Prado,,0,37.72,96.77,1,0.000704
Nacip Raydan,Nacip Raydan,,0,0,0,0,0.001196
São João do Pacuí,São João do Pacuí,,0,250.23,979.72,0,0.000568
Coração de Jesus,Coração de Jesus,,33.37,25.88,2094.61,0,0.000646
Cruzília,Cruzília,,19.52,0,13.02,4,0.001065
São Thomé das Letras,São Thomé das Letras,,0,0,0,4,0.000666
São João das Missões,São João das Missões,,0,450.94,961.31,5,0.000812
Pescador,Pescador,,559.05,46.39,141.31,1,0.000533
Rio Pardo de Minas,Rio Pardo de Minas,,6.51,9.67,64.98,5,0.00058
Taiobeiras,Taiobeiras,,21.01,8.87,318.98,5,0.001523
Martins Soares,Martins Soares,,0,0,325.34,3,0.00152
Cipotânea,Cipotânea,,0,0,14.76,2,0.000512
Desterro do Melo,Desterro do Melo,,0,0,856.46,2,0.000512
Barroso,Barroso,,9.67,28.73,159.27,2,0.001223
Carandaí,Carandaí,,15.97,27.59,122.4,2,0.00126
Leopoldina,Leopoldina,,62.09,48.73,197.97,2,0.003416
Poté,Poté,,151.5,24.04,6.06,1,0.001199
Teófilo Otoni,Teófilo Otoni,,979.82,66.23,64.89,1,0.00552
Açucena,Açucena,,108.48,170.05,20.89,0,0.001127
Guanhães,Guanhães,,14.9,14.68,82.22,0,0.003611
Itabirinha,Itabirinha,,0,0,0,1,0.000653
Passabém,Passabém,,0,0,0,0,0.000637
São Sebastião do Rio Preto,São Sebastião do Rio Preto,,0,0,0,0,0.000637
Mamonas,Mamonas,,30.34,1509.66,673.61,5,0.000459
Arceburgo,Arceburgo,,19.28,66.18,1088.49,4,0.000793
Monte Santo de Minas,Monte Santo de Minas,,13.69,18.22,334.35,4,0.000793
Caiana,Caiana,,18.68,0,0,3,0.000329
Caratinga,Caratinga,,50.67,15.24,25.14,1,0.003886
Piedade de Caratinga,Piedade de Caratinga,,62.44,72.75,23.74,3,0.000314
Divinópolis,Divinópolis,,34.22,35.33,1092.48,6,0.004747
São Sebastião do Oeste,São Sebastião do Oeste,,31.1,30.35,508.68,6,0.000448
Córrego Fundo,Córrego Fundo,,32.22,0,222.58,6,0.000381
Guiricema,Guiricema,,34.2,1227.91,118.46,2,0.000623
Visconde do Rio Branco,Visconde do Rio Branco,,250.11,1867.31,927.66,2,0.001769
São Pedro da União,São Pedro da União,,0,40.72,254.83,4,0.000533
Pedra Bonita,Pedra Bonita,,14.18,0,14.15,3,0.000397
Ibiraci,Ibiraci,,45.1,44.2,445.68,4,0.000491
Capelinha,Capelinha,,34.82,5.28,124.15,0,0.00274
Delta,Delta,,10.53,1140.95,3041.49,6,0.000258
Uberaba,Uberaba,,67.05,121.85,1553.15,6,0.005672
São Gonçalo do Pará,São Gonçalo do Pará,,326.07,66.75,3699.46,6,0.000703
Ibiracatu,Ibiracatu,,2288.11,486.62,1271.97,5,0.000282
Varzelândia,Varzelândia,,2659.63,197.74,2627.36,5,0.001057
Monte Formoso,Monte Formoso,,0,0,0,1,0.000244
Padre Paraíso,Padre Paraíso,,350.51,69.39,54.86,1,0.002488
Raul Soares,Raul Soares,,20.5,28.73,155.37,1,0.001068
Vermelho Novo,Vermelho Novo,,0,0,0,1,0.000437
