3157708,1200
3167202,5192
3149200,280
3146552,9
3154804,988
3149309,1229
3153905,1407
3154804,988
3127701,3704
3149804,665
3152204,905
3172103,290
3136652,4315
3109006,221
3157708,1200
1100452,98
3171907,338
3136900,41
3145208,2497
3149200,280
3157906,258
3135209,291
3172103,290
3169208,378
3549003,569
3140555,12
3143302,3296
3142254,31
3146552,9
3117876,20
3149804,665
3124104,214
3126000,230
3163607,53
3171600,259
3126000,230
3149705,386
3168051,178
3149804,665
3131307,3377
3135407,70
3162203,186
3151107,199
3133709,146
3125309,108
3143302,3296
3171600,259
3132404,810
3140407,28
3156304,311
3127206,19
3148103,1271
3149002,267
3124203,461
3168507,924
3154150,1197
3149002,267
3105202,12
3161700,37
3162559,372
3167202,5192
3155306,83
3144672,24
3169901,3826
2210052,49
4310900,280
3116100,4
3156304,311
3127404,38
3153509,875
3153509,875
3132107,66
3145109,73
3127404,38
3139300,181
3142908,542
3165578,60
3139508,1008
3138203,1769
3157708,1200
3158102,28
3122355,59
3120409,780
3165602,82
3139409,1267
3134509,178
3152907,391
3135209,291
3149101,426
3141801,371
3142700,276
3163607,53
3153509,875
3155108,83
3135209,291
3144201,204
3139508,1008
3142700,276
3162658,46
3162658,46
3165206,140
3139300,181
3162450,182
3142700,276
3169208,378
3150000,37
3168002,419
3154150,1197
3121506,180
3113206,475
3169208,378
3149200,280
3153905,1407
3156304,311
3168002,419
3168606,4370
3128006,973
3139607,453
3164803,133
3139250,20
3162559,372
3143203,160
3113305,135
3150158,230
3164605,165
3126109,1530
3172004,1885
3163904,57
3139508,1008
3157906,258
3147907,1919
3169901,3826
3156304,311
1100452,98
3145208,2497
3549003,569
3140407,28
3170107,2304
3161809,274
3170909,81
3146305,815
3149705,386
3171154,68
3149002,267
3166303,26
3154200,114
3169901,3826
3168408,426
3168309,101
3172202,98
3152105,2153
3119500,39
3167202,5192
3116308,88
3157005,692
3166808,148
3145208,2497
3143302,3296
3172103,290
3168705,2364
3136702,4752
3156700,131
3162609,172
3152170,444
3152501,4006
3125200,66
3121506,180
3145703,72
3163706,2262
3153806,120
3145307,249
3149309,1229
3131208,178
3169208,378
3154150,1197
3164472,228
3138401,2493
3147105,3811
3154150,1197
3151909,308
3134707,131
3143609,20
3149804,665
5212253,186
3165552,304
3168606,4370
3110004,436
3136702,4752
3132107,66
3146750,17
