Id,Label,timeset,modularity_class,pageranks
Coraçăo de Jesus,Coraçăo de Jesus,,0,0.000646
Cruzília,Cruzília,,1,0.001065
Săo Thomé das Letras,Săo Thomé das Letras,,1,0.000666
Săo Joăo das Missőes,Săo Joăo das Missőes,,0,0.000812
Pescador,Pescador,,3,0.000533
Rio Pardo de Minas,Rio Pardo de Minas,,0,0.00058
Taiobeiras,Taiobeiras,,0,0.001523
Martins Soares,Martins Soares,,3,0.00152
Cipotânea,Cipotânea,,5,0.000512
Desterro do Melo,Desterro do Melo,,5,0.000512
Barroso,Barroso,,5,0.001223
Carandaí,Carandaí,,5,0.00126
Leopoldina,Leopoldina,,5,0.003416
Poté,Poté,,4,0.001199
Teófilo Otoni,Teófilo Otoni,,3,0.00552
Açucena,Açucena,,4,0.001127
Guanhăes,Guanhăes,,4,0.003611
Itabirinha,Itabirinha,,3,0.000653
Passabém,Passabém,,4,0.000637
Săo Sebastiăo do Rio Preto,Săo Sebastiăo do Rio Preto,,4,0.000637
Mamonas,Mamonas,,0,0.000459
Arceburgo,Arceburgo,,2,0.000793
Monte Santo de Minas,Monte Santo de Minas,,2,0.000793
Caiana,Caiana,,3,0.000329
Caratinga,Caratinga,,3,0.003886
Piedade de Caratinga,Piedade de Caratinga,,3,0.000314
Divinópolis,Divinópolis,,6,0.004747
Săo Sebastiăo do Oeste,Săo Sebastiăo do Oeste,,6,0.000448
Córrego Fundo,Córrego Fundo,,6,0.000381
Guiricema,Guiricema,,5,0.000623
Visconde do Rio Branco,Visconde do Rio Branco,,5,0.001769
Săo Pedro da Uniăo,Săo Pedro da Uniăo,,2,0.000533
Pedra Bonita,Pedra Bonita,,3,0.000397
Ibiraci,Ibiraci,,2,0.000491
Capelinha,Capelinha,,4,0.00274
Delta,Delta,,6,0.000258
Uberaba,Uberaba,,6,0.005672
Săo Gonçalo do Pará,Săo Gonçalo do Pará,,6,0.000703
Ibiracatu,Ibiracatu,,0,0.000282
Varzelândia,Varzelândia,,0,0.001057
Monte Formoso,Monte Formoso,,3,0.000244
Padre Paraíso,Padre Paraíso,,3,0.002488
Raul Soares,Raul Soares,,3,0.001068
Vermelho Novo,Vermelho Novo,,3,0.000437
Antônio Prado de Minas,Antônio Prado de Minas,,3,0.000549
Abre Campo,Abre Campo,,3,0.00208
