source,target,weight
Belo Horizonte,Santa Maria do Salto,840
Buritizeiro,Uberlândia,420
Ladainha,Teófilo Otoni,120
Marilac,São José da Safira,85
Baependi,São Thomé das Letras,105
Betim,Esmeraldas,40
Ipatinga,Vargem Alegre,90
Alto Caparaó,Caparaó,25
Divinolândia de Minas,Virginópolis,25
Itajubá,Sapucaí-Mirim,110
Diamantina,Felício dos Santos,130
Amparo do Serra,Ponte Nova,50
Funilândia,Prudente de Morais,20
Lajinha,Rio Casca,150
Bom Jesus do Galho,Coronel Fabriciano,200
Caratinga,Ipatinga,90
Ibiraci,Itaú de Minas,85
Capelinha,Governador Valadares,460
Berilo,Coronel Murta,165
Itabira,Itambé do Mato Dentro,90
Belo Horizonte,Nova União,75
Itanhandu,São Sebastião do Rio Verde,45
João Monlevade,Mata Verde,750
Santo Antônio do Itambé,Serro,60
Belo Horizonte,Serra dos Aimorés,680
Águas Vermelhas,Pedra Azul,90
Mesquita,Santana do Paraíso,45
Ponte Nova,Rio Doce,60
Florestal,Pará de Minas,45
Materlândia,Rio Vermelho,60
Capelinha,Coroaci,215
Além Paraíba,Santo Antônio do Aventureiro,50
Araponga,São Miguel do Anta,60
Brasília de Minas,Luislândia,20
Carangola,Espera Feliz,35
Carangola,Reduto,135
Cataguases,Dona Eusébia,30
Chiador,Mar de Espanha,60
Dores de Guanhães,Ferros,105
Entre Folhas,Ipatinga,105
Franciscópolis,Malacacheta,40
Manhumirim,Alto Jequitibá,20
Montes Claros,Varzelândia,180
Natércia,São Sebastião da Bela Vista,85
Pedra Dourada,Tombos,30
Santana do Manhuaçu,Simonésia,20
São Domingos das Dores,São Sebastião do Anta,20
Cristiano Otoni,Ouro Preto,105
Piranguinho,Sapucaí-Mirim,95
Luisburgo,Manhuaçu,60
Lamim,Senador Firmino,115
Diamantina,São Gonçalo do Rio Preto,90
Campos Altos,Santa Rosa da Serra,40
Caparaó,Manhuaçu,105
Guanhães,Turmalina,330
Ipatinga,Mata Verde,660
Fruta de Leite,Salinas,90
Diamantina,Monjolos,180
Nanuque,Umburatiba,210
Alfredo Vasconcelos,Barbacena,20
Barão de Cocais,Santa Bárbara,20
Pedra do Anta,Viçosa,60
Machacalis,Nanuque,255
Almenara,Belo Horizonte,655
Passos,Pratápolis,45
Dionísio,Marliéria,120
Dionísio,São José do Goiabal,60
Montes Claros,São João da Ponte,150
Oliveira,São Francisco de Paula,30
Paula Cândido,Viçosa,45
Alto Caparaó,Manhuaçu,80
Cataguases,Itamarati de Minas,40
Cristália,Grão Mogol,40
Patis,Varzelândia,120
Belo Horizonte,Coronel Murta,780
Belo Horizonte,Espinosa,650
Belo Horizonte,Felisburgo,780
Belo Horizonte,Jordânia,780
Betim,Januária,780
São João da Lagoa,São João do Pacuí,65
Borda da Mata,Tocos do Moji,25
São José da Safira,Virgolândia,70
Jequeri,Ponte Nova,90
Carlos Chagas,Novo Oriente de Minas,280
Carlos Chagas,Pavão,220
Ladainha,Poté,55
Capela Nova,Cristiano Otoni,75
Contagem,Mata Verde,840
Além Paraíba,Carangola,240
Aimorés,Taparuba,180
Imbé de Minas,Ubaporanga,30
Rio do Prado,Rubim,60
Januária,Miravânia,165
Novo Cruzeiro,Poté,120
Betim,Mata Verde,900
Mata Verde,Teófilo Otoni,450
Careaçu,São Lourenço,250
Boa Esperança,Campo Belo,120
Piumhi,São Roque de Minas,120
Bom Jesus do Galho,Caratinga,50
Astolfo Dutra,Cataguases,40
Conselheiro Lafaiete,Ouro Branco,40
Água Boa,Coroaci,175
Bom Jesus da Penha,Guaxupé,77
Araxá,Monte Alegre de Minas,150
Manhuaçu,Taparuba,120
Rodeiro,Ubá,30
Caxambu,São Thomé das Letras,110
Januária,Manga,180
Ouro Fino,Santa Rita do Sapucaí,110
Comercinho,Ipatinga,445
Baependi,Caxambu,20
Cachoeira de Minas,Conceição dos Ouros,20
Descoberto,São João Nepomuceno,20
Inconfidentes,Ouro Fino,20
Manga,Matias Cardoso,20
Nacip Raydan,Virgolândia,20
Belo Horizonte,Monte Alegre de Minas,480
Extrema,Munhoz,90
Bom Sucesso,São Tiago,120
Chalé,Lajinha,25
Matias Barbosa,Simão Pereira,25
Barão de Monte Alto,Muriaé,30
Santo Antônio do Rio Abaixo,São Sebastião do Rio Preto,35
Bom Sucesso,Lavras,75
Astolfo Dutra,Conselheiro Lafaiete,235
Betim,Itaobim,630
Coronel Pacheco,Juiz de Fora,45
Simonésia,Taparuba,60
Chapada do Norte,Leme do Prado,90
Cruzília,São Lourenço,110
Conselheiro Lafaiete,Dona Eusébia,245
Belo Horizonte,Taquaraçu de Minas,90
Borda da Mata,Santa Rita do Sapucaí,70
Bugre,Iapu,20
Camanducaia,Estiva,60
Careaçu,Caxambu,215
Itajubá,Maria da Fé,50
Montes Claros,Patis,120
Brasilândia de Minas,Riachinho,105
Arcos,Lagoa da Prata,75
Andradas,Santa Rita de Caldas,55
Fronteira dos Vales,Teófilo Otoni,240
Braúnas,Santana do Paraíso,120
Santa Rita do Sapucaí,Varginha,195
Belo Horizonte,Manga,745
Ipatinga,Mesquita,95
Gonzaga,Virginópolis,60
Jequitaí,Montes Claros,90
Alpinópolis,Varginha,225
São Thomé das Letras,Três Corações,75
Braúnas,Itabira,330
Baldim,Jequitibá,20
Cataguases,Santana de Cataguases,40
Itaguara,Piracema,40
São Sebastião do Paraíso,São Tomás de Aquino,40
Açucena,São Pedro do Suaçuí,275
Boa Esperança,Candeias,150
Carmo de Minas,Pouso Alto,65
Carneirinho,Iturama,65
Monte Belo,Muzambinho,30
Nanuque,Serra dos Aimorés,20
Governador Valadares,Nova Serrana,660
Santa Helena de Minas,Teófilo Otoni,270
Montes Claros,Pirapora,180
Ipatinga,Rubim,610
Cabo Verde,Carmo do Rio Claro,210
Conceição das Pedras,São José do Alegre,60
Cruzília,Soledade de Minas,90
Governador Valadares,Virgolândia,135
Jacutinga,Piranguinho,185
Jeceaba,São Brás do Suaçuí,20
Teixeiras,Viçosa,20
Andradas,Ibitiúra de Minas,30
Conselheiro Lafaiete,Queluzito,30
Espera Feliz,Ouro Preto,360
Monte Alegre de Minas,Perdizes,190
Carangola,Orizânia,100
Cássia,Ibiraci,40
Açucena,São José do Jacuri,305
Coronel Pacheco,Piau,25
Ijaci,Lavras,25
Itajubá,Ouro Fino,160
Aimorés,Pocrane,150
Almenara,Jacinto,60
Alvinópolis,Ponte Nova,120
Andradas,Poços de Caldas,60
Araçuaí,Contagem,720
Arinos,São Francisco,240
Belo Horizonte,Ipatinga,180
Belo Horizonte,Itacarambi,660
Belo Horizonte,Montes Claros,300
Belo Horizonte,Nanuque,600
Belo Horizonte,Rubim,780
Betim,Teófilo Otoni,480
Capitão Enéas,Montes Claros,60
Carangola,Pedra Dourada,30
Catuti,Mato Verde,30
Divinésia,Ubá,30
Espinosa,Uberlândia,840
Governador Valadares,Mata Verde,480
Governador Valadares,Pescador,120
Guanhães,Minas Novas,300
Guanhães,Rio Vermelho,120
Inhapim,São Domingos das Dores,30
Itajubá,Piranguçu,30
Jacinto,Santa Maria do Salto,60
Juvenília,Montalvânia,45
Malacacheta,Nova Serrana,540
Montes Claros,Uberlândia,600
Patos de Minas,Porteirinha,540
Pescador,São José do Divino,60
Pintópolis,São Francisco,60
Piumhi,Varzelândia,600
Porteirinha,Uberlândia,660
Santa Rita de Minas,Vermelho Novo,65
Bom Repouso,Cambuí,50
Guanhães,Paulistas,85
Itaipé,Teófilo Otoni,120
Ipatinga,São João do Oriente,90
Japaraíba,Lagoa da Prata,20
Lavras,Ribeirão Vermelho,20
Campo do Meio,Santana da Vargem,110
Pouso Alegre,Varginha,155
Baldim,Prudente de Morais,45
Cataguases,Tocantins,120
Arceburgo,Guaranésia,25
Cambuí,Itapeva,50
Iturama,Limeira do Oeste,65
Além Paraíba,Divino,220
Capitão Andrade,Itanhomi,30
Coronel Fabriciano,Marliéria,60
Itaipé,Novo Cruzeiro,60
Natércia,Pouso Alegre,120
Passos,Varginha,300
Coronel Fabriciano,Vargem Alegre,105
Perdões,Três Pontas,200
Cássia,Passos,60
