freq,casos,p_rt1,p_inc100k,nivel
266,1,0,21,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,1,0,21,1
266,2,0,42,1
266,0,0,0,1
266,1,0,21,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,1,0,21,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,0,0,0,1
266,1,0,21,1
266,1,0,21,1
266,0,0,0,1
266,1,0,21,1
266,1,0,21,1
266,2,0,42,1
266,1,0,21,1
266,2,0,42,1
266,5,0,107,1
266,1,0,21,1
266,3,0,64,1
266,7,0,150,1
266,15,0,364,1
266,2,0,42,1
266,22,0,621,1
266,12,0,364,4
266,3,0,85,2
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,1,0,4,1
1606,1,0,4,1
1606,0,0,0,1
1606,1,0,4,1
1606,1,0,4,1
1606,0,0,0,1
1606,1,0,4,1
1606,1,0,4,1
1606,0,0,0,1
1606,1,0,4,1
1606,0,0,0,1
1606,0,0,0,1
1606,1,0,4,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,1,0,4,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,0,0,0,1
1606,2,0,8,1
1606,4,0,16,1
