Id,d1 (18-17),d1 (18-17) ABS,negpos1,d2 (19-18),d2 (19-18) ABS,negpos2,d1 (18-17)p,d2 (19-18)p
Brasilândia de Minas,61.35,61.35,1,648.24,648.24,1,61.35,648.24
Brasília de Minas,-1707.45,1707.45,0,2208.37,2208.37,1,0,2208.37
Brasópolis,-20.09,20.09,0,13.79,13.79,1,0,13.79
Braúnas,20.32,20.32,1,-39.28,39.28,0,20.32,0
Brumadinho,-40.65,40.65,0,669.9,669.9,1,0,669.9
Bueno Brandão,0,0,0,9.08,9.08,1,0,9.08
Buenópolis,66.06,66.06,1,1746.02,1746.02,1,66.06,1746.02
Bugre,-48.52,48.52,0,49.94,49.94,1,0,49.94
Buritis,-53.39,53.39,0,4156.02,4156.02,1,0,4156.02
Buritizeiro,-78.33,78.33,0,1751.19,1751.19,1,0,1751.19
Cabeceira Grande,-0.99,0.99,0,1997.78,1997.78,1,0,1997.78
Cabo Verde,-13.99,13.99,0,21.31,21.31,1,0,21.31
Cachoeira da Prata,-53.67,53.67,0,858.01,858.01,1,0,858.01
Cachoeira de Minas,-8.65,8.65,0,43.43,43.43,1,0,43.43
Cachoeira de Pajeú,-53.13,53.13,0,21.32,21.32,1,0,21.32
Cachoeira Dourada,-343.25,343.25,0,749.44,749.44,1,0,749.44
Caetanópolis,-567.61,567.61,0,459.61,459.61,1,0,459.61
Caeté,17.8,17.8,1,1568.38,1568.38,1,17.8,1568.38
Caiana,-18.68,18.68,0,0,0,0,0,0
Cajuri,-24.27,24.27,0,99.95,99.95,1,0,99.95
Caldas,-0.07,0.07,0,-6.88,6.88,0,0,0
Camacho,0,0,0,102.25,102.25,1,0,102.25
Camanducaia,-4.55,4.55,0,4.6,4.6,1,0,4.6
Cambuí,-6.98,6.98,0,3.42,3.42,1,0,3.42
Cambuquira,-30.76,30.76,0,-15.18,15.18,0,0,0
Campanário,-1180.73,1180.73,0,30.91,30.91,1,0,30.91
Campanha,35.37,35.37,1,-60.01,60.01,0,35.37,0
Campestre,4.66,4.66,1,4.84,4.84,1,4.66,4.84
Campina Verde,313.64,313.64,1,806.6,806.6,1,313.64,806.6
Campo Azul,-339.22,339.22,0,2705.93,2705.93,1,0,2705.93
Campo Belo,1.72,1.72,1,668.53,668.53,1,1.72,668.53
Campo do Meio,-8.46,8.46,0,326.27,326.27,1,0,326.27
Campo Florido,-15.13,15.13,0,1219.22,1219.22,1,0,1219.22
Campos Altos,753.62,753.62,1,-499.87,499.87,0,753.62,0
Campos Gerais,-3.46,3.46,0,1309.97,1309.97,1,0,1309.97
Cana Verde,-34.85,34.85,0,107.29,107.29,1,0,107.29
Canaã,21.28,21.28,1,-21.28,21.28,0,21.28,0
Canápolis,209.96,209.96,1,1452.41,1452.41,1,209.96,1452.41
Candeias,46.2,46.2,1,1714.3,1714.3,1,46.2,1714.3
Cantagalo,-22.4,22.4,0,867.05,867.05,1,0,867.05
Caparaó,0,0,0,55.31,55.31,1,0,55.31
Capela Nova,0,0,0,42.8,42.8,1,0,42.8
Capelinha,-29.54,29.54,0,118.87,118.87,1,0,118.87
Capetinga,-27.84,27.84,0,1323.36,1323.36,1,0,1323.36
Capim Branco,-10.79,10.79,0,3967.35,3967.35,1,0,3967.35
Capinópolis,527.17,527.17,1,1446.92,1446.92,1,527.17,1446.92
Capitão Andrade,18.5,18.5,1,18.4,18.4,1,18.5,18.4
Capitão Enéas,104.72,104.72,1,766.25,766.25,1,104.72,766.25
Capitólio,-69.67,69.67,0,953.38,953.38,1,0,953.38
Caputira,0,0,0,75.37,75.37,1,0,75.37
Caraí,-25.53,25.53,0,25.51,25.51,1,0,25.51
Caranaíba,60.62,60.62,1,1.88,1.88,1,60.62,1.88
Carandaí,11.62,11.62,1,94.81,94.81,1,11.62,94.81
Carangola,-3.01,3.01,0,324.51,324.51,1,0,324.51
Caratinga,-35.43,35.43,0,9.9,9.9,1,0,9.9
Carbonita,0,0,0,223.5,223.5,1,0,223.5
Careaçu,0,0,0,282.7,282.7,1,0,282.7
Carlos Chagas,-139.81,139.81,0,22.43,22.43,1,0,22.43
Carmésia,38.04,38.04,1,38.38,38.38,1,38.04,38.38
Carmo da Cachoeira,-24.48,24.48,0,-24.29,24.29,0,0,0
Carmo da Mata,-8.84,8.84,0,96.35,96.35,1,0,96.35
Carmo de Minas,0,0,0,6.77,6.77,1,0,6.77
Carmo do Cajuru,-41.82,41.82,0,1028.76,1028.76,1,0,1028.76
Carmo do Paranaíba,-3.27,3.27,0,557.49,557.49,1,0,557.49
Carmo do Rio Claro,4.61,4.61,1,807.55,807.55,1,4.61,807.55
Carmópolis de Minas,-16.75,16.75,0,2078.73,2078.73,1,0,2078.73
Carneirinho,-160.5,160.5,0,561.04,561.04,1,0,561.04
Carrancas,0,0,0,123.64,123.64,1,0,123.64
Carvalhópolis,0,0,0,56.18,56.18,1,0,56.18
Carvalhos,0,0,0,22.25,22.25,1,0,22.25
Casa Grande,-43.35,43.35,0,-43.31,43.31,0,0,0
Cascalho Rico,65.13,65.13,1,425.55,425.55,1,65.13,425.55
Cássia,11.08,11.08,1,930.35,930.35,1,11.08,930.35
Cataguases,-7.08,7.08,0,88.5,88.5,1,0,88.5
Catas Altas,-19.43,19.43,0,75,75,1,0,75
Catas Altas da Noruega,27.28,27.28,1,193.17,193.17,1,27.28,193.17
Catuji,-14.81,14.81,0,-15.12,15.12,0,0,0
Catuti,603.04,603.04,1,1163.12,1163.12,1,603.04,1163.12
Caxambu,-8.98,8.98,0,92.68,92.68,1,0,92.68
Cedro do Abaeté,82.71,82.71,1,685.86,685.86,1,82.71,685.86
Central de Minas,-198.12,198.12,0,-28.12,28.12,0,0,0
Centralina,178.17,178.17,1,1162.29,1162.29,1,178.17,1162.29
Chácara,-230.11,230.11,0,1025.31,1025.31,1,0,1025.31
Chalé,-34.38,34.38,0,17.52,17.52,1,0,17.52
Chapada do Norte,6.38,6.38,1,0.13,0.13,1,6.38,0.13
Chapada Gaúcha,5.66,5.66,1,2618.02,2618.02,1,5.66,2618.02
Chiador,0,0,0,0,0,0,0,0
Cipotânea,0,0,0,14.76,14.76,1,0,14.76
Claraval,-20.83,20.83,0,623.7,623.7,1,0,623.7
Claro dos Poções,76.81,76.81,1,2216.14,2216.14,1,76.81,2216.14
Cláudio,-25.44,25.44,0,296.08,296.08,1,0,296.08
Coimbra,26.46,26.46,1,133.18,133.18,1,26.46,133.18
Coluna,-21.79,21.79,0,561.36,561.36,1,0,561.36
Comendador Gomes,-96.28,96.28,0,386.72,386.72,1,0,386.72
Comercinho,-38.29,38.29,0,0,0,0,0,0
Conceição da Aparecida,-19.61,19.61,0,39.3,39.3,1,0,39.3
Conceição da Barra de Minas,49.38,49.38,1,26.34,26.34,1,49.38,26.34
Conceição das Alagoas,453.48,453.48,1,1021.69,1021.69,1,453.48,1021.69
Conceição das Pedras,34.99,34.99,1,36.16,36.16,1,34.99,36.16
Conceição de Ipanema,0,0,0,0,0,0,0,0
Conceição do Mato Dentro,16.68,16.68,1,2739.31,2739.31,1,16.68,2739.31
Conceição do Pará,72.34,72.34,1,1058.98,1058.98,1,72.34,1058.98
Conceição do Rio Verde,0,0,0,7.36,7.36,1,0,7.36
Conceição dos Ouros,-17.76,17.76,0,8.68,8.68,1,0,8.68
Cônego Marinho,-66.41,66.41,0,5056.11,5056.11,1,0,5056.11
Confins,-47.53,47.53,0,825.76,825.76,1,0,825.76
Congonhal,-17.45,17.45,0,25.4,25.4,1,0,25.4
Congonhas,-7.89,7.89,0,453.79,453.79,1,0,453.79
Congonhas do Norte,0,0,0,19.83,19.83,1,0,19.83
Conquista,56.12,56.12,1,2216.34,2216.34,1,56.12,2216.34
Conselheiro Lafaiete,11.51,11.51,1,301.83,301.83,1,11.51,301.83
Conselheiro Pena,-272.65,272.65,0,58.23,58.23,1,0,58.23
Consolação,0,0,0,56.12,56.12,1,0,56.12
Contagem,-52.28,52.28,0,3723.97,3723.97,1,0,3723.97
Coqueiral,-21.04,21.04,0,76.99,76.99,1,0,76.99
Coração de Jesus,-7.49,7.49,0,2068.73,2068.73,1,0,2068.73
Cordisburgo,-0.03,0.03,0,1047.12,1047.12,1,0,1047.12
Cordislândia,-0.11,0.11,0,0.42,0.42,1,0,0.42
Corinto,-94.07,94.07,0,3488.74,3488.74,1,0,3488.74
Coroaci,-57.68,57.68,0,30.17,30.17,1,0,30.17
Coromandel,-0.05,0.05,0,958.22,958.22,1,0,958.22
Coronel Fabriciano,2095.15,2095.15,1,-2744.42,2744.42,0,2095.15,0
Coronel Murta,-53.19,53.19,0,86.69,86.69,1,0,86.69
Coronel Pacheco,0,0,0,876.62,876.62,1,0,876.62
Coronel Xavier Chaves,-58.12,58.12,0,87.94,87.94,1,0,87.94
Córrego Danta,30.05,30.05,1,187.3,187.3,1,30.05,187.3
Córrego do Bom Jesus,0,0,0,26.93,26.93,1,0,26.93
Córrego Fundo,-32.22,32.22,0,222.58,222.58,1,0,222.58
Córrego Novo,-65.27,65.27,0,-33.67,33.67,0,0,0
Couto de Magalhães de Minas,-747.96,747.96,0,1387.63,1387.63,1,0,1387.63
Crisólita,45.24,45.24,1,-30.19,30.19,0,45.24,0
Cristais,-8.12,8.12,0,5315.96,5315.96,1,0,5315.96
Cristália,148.87,148.87,1,170.06,170.06,1,148.87,170.06
Cristiano Otoni,19.06,19.06,1,156.08,156.08,1,19.06,156.08
Cristina,28.62,28.62,1,-18.87,18.87,0,28.62,0
Crucilândia,-20.12,20.12,0,738.11,738.11,1,0,738.11
Cruzeiro da Fortaleza,23.77,23.77,1,943.86,943.86,1,23.77,943.86
Cruzília,-19.52,19.52,0,13.02,13.02,1,0,13.02
Cuparaque,517.02,517.02,1,-54.27,54.27,0,517.02,0
Curral de Dentro,-107.02,107.02,0,274.24,274.24,1,0,274.24
Curvelo,-106.68,106.68,0,4417.01,4417.01,1,0,4417.01
Datas,18.18,18.18,1,167.18,167.18,1,18.18,167.18
Delfim Moreira,12.19,12.19,1,-12.19,12.19,0,12.19,0
Delfinópolis,-14,14,0,803.04,803.04,1,0,803.04
Delta,1130.42,1130.42,1,1900.54,1900.54,1,1130.42,1900.54
Descoberto,39.48,39.48,1,541.04,541.04,1,39.48,541.04
Desterro de Entre Rios,0,0,0,248.89,248.89,1,0,248.89
Desterro do Melo,0,0,0,856.46,856.46,1,0,856.46
Diamantina,-321.49,321.49,0,1355.3,1355.3,1,0,1355.3
Diogo de Vasconcelos,51.11,51.11,1,-24.89,24.89,0,51.11,0
Dionísio,0,0,0,674.99,674.99,1,0,674.99
Divinésia,115.62,115.62,1,-144.72,144.72,0,115.62,0
Divino,0,0,0,75.44,75.44,1,0,75.44
Divino das Laranjeiras,-1928.37,1928.37,0,0,0,0,0,0
Divinolândia de Minas,-13.38,13.38,0,26.57,26.57,1,0,26.57
Divinópolis,1.11,1.11,1,1057.15,1057.15,1,1.11,1057.15
Divisa Alegre,-46.31,46.31,0,1223.52,1223.52,1,0,1223.52
Divisa Nova,-200.99,200.99,0,-229.53,229.53,0,0,0
Divisópolis,0,0,0,0,0,0,0,0
Dom Bosco,-52.03,52.03,0,2514.19,2514.19,1,0,2514.19
Dom Cavati,38.22,38.22,1,-37.56,37.56,0,38.22,0
Dom Joaquim,0,0,0,44.62,44.62,1,0,44.62
Dom Silvério,0,0,0,362.39,362.39,1,0,362.39
Dom Viçoso,0,0,0,0,0,0,0,0
Dona Euzébia,14.66,14.66,1,0.04,0.04,1,14.66,0.04
Dores de Campos,-20.09,20.09,0,624.94,624.94,1,0,624.94
Dores de Guanhães,-37.54,37.54,0,0,0,0,0,0
Dores do Indaiá,409.76,409.76,1,-22.94,22.94,0,409.76,0
Dores do Turvo,90.15,90.15,1,-20.2,20.2,0,90.15,0
Doresópolis,-0.6,0.6,0,394.99,394.99,1,0,394.99
Douradoquara,-208.33,208.33,0,1259.84,1259.84,1,0,1259.84
Durandé,0,0,0,25.6,25.6,1,0,25.6
Elói Mendes,-337.45,337.45,0,111.4,111.4,1,0,111.4
Engenheiro Caldas,-429.09,429.09,0,18.16,18.16,1,0,18.16
Engenheiro Navarro,0,0,0,1822.2,1822.2,1,0,1822.2
Entre Folhas,18.17,18.17,1,2107.98,2107.98,1,18.17,2107.98
Entre Rios de Minas,19.62,19.62,1,243.3,243.3,1,19.62,243.3
Ervália,5.22,5.22,1,0.1,0.1,1,5.22,0.1
Esmeraldas,-122.66,122.66,0,1615.46,1615.46,1,0,1615.46
Espera Feliz,16.13,16.13,1,40.38,40.38,1,16.13,40.38
Espinosa,34.14,34.14,1,1221.29,1221.29,1,34.14,1221.29
Espírito Santo do Dourado,-21.41,21.41,0,42.8,42.8,1,0,42.8
Estiva,0,0,0,0,0,0,0,0
Estrela Dalva,0,0,0,0,0,0,0,0
Estrela do Indaiá,503.02,503.02,1,633.14,633.14,1,503.02,633.14
Estrela do Sul,87.71,87.71,1,693.54,693.54,1,87.71,693.54
Eugenópolis,8.4,8.4,1,740.2,740.2,1,8.4,740.2
Ewbank da Câmara,0,0,0,128.07,128.07,1,0,128.07
Extrema,-6.16,6.16,0,8.37,8.37,1,0,8.37
Fama,-165.19,165.19,0,127.73,127.73,1,0,127.73
Faria Lemos,0,0,0,30.66,30.66,1,0,30.66
Felício dos Santos,0,0,0,104.08,104.08,1,0,104.08
Felisburgo,-41.05,41.05,0,27.03,27.03,1,0,27.03
Felixlândia,-87.66,87.66,0,6242.48,6242.48,1,0,6242.48
Fernandes Tourinho,-151.92,151.92,0,206.03,206.03,1,0,206.03
Ferros,9.75,9.75,1,91.39,91.39,1,9.75,91.39
Fervedouro,-18.29,18.29,0,410.7,410.7,1,0,410.7
Florestal,-250.19,250.19,0,3668.94,3668.94,1,0,3668.94
Formiga,5.64,5.64,1,1004.41,1004.41,1,5.64,1004.41
Formoso,-22.06,22.06,0,561.98,561.98,1,0,561.98
Fortaleza de Minas,45.38,45.38,1,1573.04,1573.04,1,45.38,1573.04
Fortuna de Minas,68.21,68.21,1,820.07,820.07,1,68.21,820.07
Francisco Badaró,9.47,9.47,1,2011.22,2011.22,1,9.47,2011.22
Francisco Dumont,19.18,19.18,1,3624.54,3624.54,1,19.18,3624.54
Francisco Sá,55.97,55.97,1,1502.55,1502.55,1,55.97,1502.55
Franciscópolis,-86.81,86.81,0,74.18,74.18,1,0,74.18
Frei Gaspar,-132.7,132.7,0,17.35,17.35,1,0,17.35
Frei Inocêncio,-84.33,84.33,0,31.4,31.4,1,0,31.4
Frei Lagonegro,0,0,0,317.09,317.09,1,0,317.09
