Id,norm-2017,norm-2018,norm-2019,,,,,
Brasilândia de Minas,0.003899565638,0.01142515079,0.09094243387,,,,,
Brasília de Minas,0.2105716378,0.001124851114,0.2720177032,,,,,
Brasópolis,0.00246436847,0,0.001691569995,,,,,
Braúnas,0.004862497071,0.007355078819,0.002536741661,,,,,
Brumadinho,0.00972131415,0.00473492399,0.08690916183,,,,,
Bueno Brandão,0,0,0.001113811135,,,,,
Buenópolis,0.002317168761,0.01042051277,0.2245985435,,,,,
Bugre,0.01186920324,0.005917428323,0.01204338957,,,,,
Buritis,0.00654916041,0,0.509804114,,,,,
Buritizeiro,0.01393735916,0.004328898124,0.2191411142,,,,,
Cabeceira Grande,0.01072717883,0.01060573907,0.2556662688,,,,,
Cabo Verde,0.00171610328,0,0.002614021508,,,,,
Cachoeira da Prata,0.009889367152,0.003305860143,0.1085548791,,,,,
Cachoeira de Minas,0.001061064573,0,0.005327402821,,,,,
Cachoeira de Pajeú,0.006517267139,0,0.002615248173,,,,,
Cachoeira Dourada,0.09680588897,0.05470063872,0.146631764,,,,,
Caetanópolis,0.09114851347,0.0215218242,0.07790053961,,,,,
Caeté,0.001962662794,0.004146125152,0.1965336922,,,,,
Caiana,0.002291408812,0,0,,,,,
Cajuri,0.002977114125,0,0.01226050914,,,,,
Caldas,0.000852531651,0.0008439450013,0,,,,,
Camacho,0,0,0.01254264192,,,,,
Camanducaia,0.000558132232,0,0.0005642655532,,,,,
Cambuí,0.0008562116437,0,0.0004195191721,,,,,
Cambuquira,0.006592093658,0.002818874437,0.0009567981119,,,,,
Campanário,0.1840155835,0.03917965602,0.0429712752,,,,,
Campanha,0.007465478601,0.01180419004,0.004442977899,,,,,
Campestre,0,0.0005716255387,0.001165331034,,,,,
Campina Verde,0.004901750327,0.04337484774,0.1423175858,,,,,
Campo Azul,0.06383928736,0.0222283828,0.3541551411,,,,,
Campo Belo,0.002041169305,0.002252155556,0.0842583404,,,,,
Campo do Meio,0.003103460543,0.00206570259,0.04208807695,,,,,
Campo Florido,0.01118840459,0.009332461584,0.1588898198,,,,,
Campos Altos,0.00242388855,0.09486775946,0.03355049379,,,,,
Campos Gerais,0.0004244258291,0,0.1606893362,,,,,
Cana Verde,0.006414227343,0.002139302445,0.01530018314,,,,,
Canaã,0,0.002610341516,0,,,,,
Canápolis,0.06130745235,0.08706249486,0.2652244366,,,,,
Candeias,0.0008120517309,0.006479240548,0.2167662922,,,,,
