Id,Incidência-2017,Incidência - 2018,Incidência - 2019
São José da Safira,538.14,23.24,1786.13
São José da Varginha,0,165.49,750.96
São José do Alegre,0,0,23.91
São José do Divino,101.42,0,232.86
São José do Goiabal,0,17.75,1558.49
São José do Jacuri,0,0,231.59
São José do Mantimento,0,0,0
São Lourenço,2.23,4.4,19.79
São Miguel do Anta,0,0,100.97
São Pedro da União,0,40.72,254.83
São Pedro do Suaçuí,0,0,548.1
São Pedro dos Ferros,24.14,12.22,203.61
São Romão,69.25,33.64,1787.63
São Roque de Minas,28.43,84.6,28.47
São Sebastião da Bela Vista,0,0,0
São Sebastião da Vargem Alegre,0,66.53,33.43
São Sebastião do Anta,0,46.74,632.81
São Sebastião do Maranhão,0,19.03,49.36
São Sebastião do Oeste,31.1,30.35,508.68
São Sebastião do Paraíso,38.81,63.8,2448.55
São Sebastião do Rio Preto,0,0,0
São Sebastião do Rio Verde,44.88,44.46,0
São Tiago,55.26,27.09,247.21
São Tomás de Aquino,28.42,41.54,3081.51
São Tomé das Letras,0,14.07,28.34
São Vicente de Minas,0,0,52.04
Sapucaí-Mirim,14.84,43.8,0
Sardoá,32.88,16.13,16.04
Sarzedo,100.37,38.66,5441.39
Sem-Peixe,0,36.02,0
Senador Amaral,18.45,18.39,0
Senador Cortes,0,48.8,1494.77
Senador Firmino,103.9,256.67,154.56
Senador José Bento,0,0,0
Senador Modestino Gonçalves,0,0,118.79
Senhora de Oliveira,0,33.94,69.13
Senhora do Porto,0,27.76,0
Senhora dos Remédios,9.45,0,57.41
Sericita,0,0,109.3
Seritinga,53.62,53.36,0
Serra Azul de Minas,0,0,23.29
Serra da Saudade,489,492.61,0
Serra do Salitre,26.49,34.81,582.96
Serra dos Aimorés,171.1,68.11,0
Serrania,102.62,89.61,13.04
Serranópolis de Minas,42.44,83.88,105.22
Serranos,0,0,0
Serro,14,9.33,228.65
Sete Lagoas,14.22,15.66,1587.96
Setubinha,701.19,16.58,115.38
Silveirânia,87.64,0,88.57
Silvianópolis,0,15.84,0
Simão Pereira,0,0,0
Simonésia,0,5.09,20.48
Sobrália,17.12,17.27,35.75
Soledade de Minas,49.55,0,16.36
Tabuleiro,149.22,50.47,4905.06
Taiobeiras,21.01,8.87,318.98
Taparuba,31.22,93.87,1667.2
Tapira,22.02,0,21.23
Tapiraí,0,0,0
Taquaraçu de Minas,49.63,0,2145.5
Tarumirim,272.63,47.73,20.91
Teixeiras,16.96,8.45,42.92
Teófilo Otoni,979.82,66.23,64.89
Timóteo,213.61,666.81,141.43
Tiradentes,39.27,0,2371.29
Tiros,29.11,0,152.93
Tocantins,126.22,912.56,2343.09
Tocos do Moji,24.25,0,0
Toledo,32.5,0,16.08
Tombos,0,11.4,170.71
Três Corações,1306.45,5.06,50.69
Três Marias,80.57,362.92,3242.25
Três Pontas,411.3,68.3,2757.05
Tumiritinga,419.85,133.55,89.58
Tupaciguara,141.94,90.06,221.76
Turmalina,2734.66,35.42,717.28
Turvolândia,0,0,59.9
Ubá,165.75,1533.1,249.42
Ubaí,0,31.92,4548.37
Ubaporanga,7.96,39.61,24.1
Uberaba,67.05,121.85,1553.15
Uberlândia,264.96,266.33,5539.43
Umburatiba,73.34,0,76.16
Unaí,256.98,708.5,3991.27
União de Minas,0,67.39,832.37
Uruana de Minas,299.76,59.92,1438.63
Urucânia,18.89,28.33,125.35
Urucuia,6.43,18.64,1873.45
Vargem Alegre,195.96,90.47,61.62
Vargem Bonita,0,0,370.71
Vargem Grande do Rio Pardo,0,0,60.16
Varginha,302.22,28.28,53.54
Varjão de Minas,44.37,28.79,961.67
Várzea da Palma,36.33,38.34,3653.03
Varzelândia,2659.63,197.74,2627.36
Vazante,19.37,211.7,3515.61
Verdelândia,22.08,271.15,172.69
Veredinha,0,0,17.51
Veríssimo,26.14,76.71,6023.79
Vermelho Novo,0,0,0
Vespasiano,18.56,14.71,1620.72
Viçosa,11.64,19.14,532.66
Vieiras,0,0,27.56
Virgem da Lapa,7.13,7.12,79.92
Virgínia,0,0,0
Virginópolis,0,0,9.49
Virgolândia,17.66,35.63,295.2
Visconde do Rio Branco,250.11,1867.31,927.66
Volta Grande,0,0,324.24
Wenceslau Braz,0,0,39.09
Average,98.43065651,107.5054748,856.4401876
Std dev,110.1439208,831.2460533,376.9360913
